unmached output,unmatched target,file number,,output error,occurrence,file number(s),,target execution error,occurrence,file number(s)
['<ERROR>'],"[""[ '(', ')', '[', ']', '{', '}' ]""]",10,,TypeError: result.append is not a function,5,10 4 5 6 7,,Ground Truth Target Dataset all run successfully without error message.,,
['{}'],['Map {}'],11,,TypeError: symbols.pop is not a function,2,18 20,,,,
['<ERROR>'],['false'],18,,TypeError: a.index is not a function,1,33,,,,
['undefined'],['2'],19,,,,,,,,
['<ERROR>'],['1'],20,,,,,,,,
['345'],['34'],24,,,,,,,,
['3'],['2'],28,,,,,,,,
['<ERROR>'],['2'],33,,,,,,,,
['true'],['false'],36,,,,,,,,
['false'],['true'],37,,,,,,,,
['false'],['true'],38,,,,,,,,
['<ERROR>'],"['[ 1, 2, 3, 4 ]']",4,,,,,,,,
['<ERROR>'],"['[', '  0, 1, 2, 3, 4,', '  5, 6, 7, 8, 9', ']']",5,,,,,,,,
['<ERROR>'],"['[', '  2, 3, 4, 5,', '  6, 7, 8, 9', ']']",6,,,,,,,,
['<ERROR>'],"['[ 2, 5, 8 ]']",7,,,,,,,,
['[]'],"['[', '  10, 9, 8, 7, 6,', '   5, 4, 3, 2, 1', ']']",8,,,,,,,,
['[]'],"['[', '  10, 9, 8, 7, 6,', '   5, 4, 3, 2, 1,', '   0', ']']",9,,,,,,,,
