vocab,token_id
b'_PAD',0
b'_GO',1
b'_EOS',2
b'_UNK',3
b'_NT',4
b'(',5
b')',6
single_input,7
compound_stmt,8
funcdef,9
def,10
twoSum,11
parameters,12
(,13
typedargslist,14
tfpdef,15
nums,16
",",17
target,18
),19
:,20
suite,21
\n,22
\t,23
stmt,24
simple_stmt,25
small_stmt,26
expr_stmt,27
testlist_star_expr,28
test,29
or_test,30
and_test,31
not_test,32
comparison,33
expr,34
xor_expr,35
and_expr,36
shift_expr,37
arith_expr,38
term,39
factor,40
power,41
atom_expr,42
atom,43
map,44
=,45
{,46
},47
eos,48
for_stmt,49
for,50
exprlist,51
i,52
in,53
testlist,54
range,55
trailer,56
arglist,57
argument,58
len,59
\t\t,60
complementary,61
-,62
[,63
subscriptlist,64
subscript_,65
],66
if_stmt,67
if,68
comp_op,69
flow_stmt,70
return_stmt,71
return,72
testlist_comp,73
.,74
get,75
1,76
<EOF>,77
isPalindrome,78
x,79
temp,80
reversedNum,81
0,82
while_stmt,83
while,84
>=,85
digit,86
math,87
floor,88
%,89
10,90
*,91
+,92
/,93
==,94
True,95
False,96
romanToInt,97
s,98
symbols,99
dictorsetmaker,100
"""I""",101
"""V""",102
5,103
"""X""",104
"""L""",105
50,106
"""C""",107
100,108
"""D""",109
500,110
"""M""",111
1000,112
value,113
augassign,114
+=,115
elif,116
<,117
-=,118
else,119
longestCommonPrefix,120
strs,121
sort,122
!=,123
isValid,124
openB,125
',126
'{',127
'[',128
closeB,129
'}',130
']',131
stack,132
c,133
index,134
append,135
pop,136
pass_stmt,137
pass,138
removeDuplicates,139
j,140
removeElement,141
val,142
zeroStartIdx,143
strStr,144
haystack,145
needle,146
hlen,147
nlen,148
and,149
diff,150
searchInsert,151
l,152
r,153
<=,154
mid,155
2,156
;,157
>,158
maxSubArray,159
result,160
float,161
'-inf',162
sum,163
num,164
lengthOfLastWord,165
plusOne,166
digits,167
lastInteger,168
9,169
pointer,170
insert,171
mySqrt,172
leftPointer,173
rightPointer,174
climbStairs,175
n,176
arr,177
None,178
idx,179
merge,180
nums1,181
m,182
nums2,183
nums1_ptr,184
nums2_ptr,185
insert_ptr,186
isHappy,187
hash,188
set,189
current,190
add,191
isAnagram,192
t,193
count,194
ch,195
addDigits,196
moveZeroes,197
reverseString,198
left,199
right,200
