step(checkpoint),step_time,loss,is_best_loss,eval_loss,is_best_eval_loss
5,46.71816844940186,3034.4862060546875,T,14.407628059387207,T
10,36.60374121665955,1669.4888671875,T,10.734804153442383,T
15,35.852291679382326,1485.3704345703125,T,7.697017669677734,T
20,41.985351371765134,1302.8756103515625,T,5.98052453994751,T
25,38.177083015441895,1012.601123046875,T,39.805152893066406,
30,44.774914407730094,1653.1540771484376,,5.8417816162109375,T
35,34.17578315734863,946.8999755859375,T,34.0583381652832,
40,38.73600344657898,691.8021240234375,T,37.94200134277344,
45,40.07066144943238,522.0398803710938,T,51.56962966918945,
50,37.722316312789914,402.9180541992188,T,62.34926223754883,
55,40.19016380310059,346.8956665039062,T,65.52964782714844,
60,38.83236722946167,271.9426727294922,T,75.12894439697266,
65,42.854817914962766,329.498681640625,,75.46430206298828,
70,39.28089685440064,248.5217010498047,T,72.95824432373047,
75,37.20851020812989,244.86270446777343,T,79.23297119140625,
80,48.63661260604859,215.51048583984374,T,77.97347259521484,
85,46.34025197029114,209.37125244140623,T,80.00074768066406,
90,48.117418718338016,185.08987121582032,T,81.9276351928711,
95,52.489637184143064,217.41990051269528,,82.01348876953125,
100,43.146457242965695,209.8167266845703,,82.29532623291016,
